Cod_TCAC;Alimento;Serving;Alimento_TCAC;Precio_100g_ajust;Energia (Kcal);Proteina (g);Carbohidratos Totales (g);Lipidos (g);Calcio (mg);Zinc (mg);Hierro (mg);Magnesio (mg);Fosforo (mg);Vitamina C (mg);Tiamina (mg);Riboflavina (mg);Niacina (mg);Folatos (mcg);Vitamina B12 (mcg);Vitamina A (ER);Sodio (mg)
G012;Leche pasteurizada;100;Leche de vaca, entera, líquida, pasteurizada;344,218887908208;55;3,2;3,4;3,2;120;0,4;0;10;95;0;0,04;0,18;0,1;5;0,45;39;42
G016;Queso cuajada;100;Queso fresco, semiblando, semimagro, tipo cuajada;1235;207;15,2;2;15,4;490;0,5;1,5;16;270;0;0,02;0,46;0,8;5;0,3;192;64
G017;Queso campesino;100;Queso fresco, semiduro, semigraso, tipo campesino;1579,4;301;17,5;0,3;25,5;586;2,9;0,4;21;335;0;0,03;0,32;0,2;5;0,3;420;935
G018;Queso costeño;100;Queso fresco, semiduro, semigraso, tipo costeño;1604,2;303;17,5;0,9;25,5;783;0,5;1,3;30;375;0;0,03;0,37;0,2;5;0,3;420;935
J003;Huevo rojo A;100;Huevo de gallina, entero, cocido, sin sal;984;145;13;0;10,4;49;0,9;1,6;13;184;0;0,07;0,37;0,1;51;1,15;176;143
K003;Azúcar sulfitada;100;Azúcar blanco, granulado;381,7;397;0;99,3;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0
K004;Azúcar morena;100;Azúcar morena, granulado;390,7;390;0;97,5;0;85;0,2;1,9;24;22;0;0,01;0,01;0,1;1;0;0;39
K018;Gelatina;100;Gelatina con azúcar, en polvo;2829,9;392;8,3;89,8;0;0;0;0;2;0;0;0;0;0;0;0;0;268
K033;Panela redonda morena;100;Panela;449,7;364;0,6;90,2;0,1;42;1,4;4,9;47;39;0;0,02;0,11;0,3;1;0;0;39
L005;Café instantáneo;100;Café soluble, en polvo;14833,3;355;13;74,7;0,4;141;0,4;4,4;326;303;0;0,01;0,08;28,2;1;0;0;38
L006;Café molido;100;Café, tostado y molido, en polvo;2551,7;479;14,2;67,5;12,3;130;0,5;5,8;165;223;0;0,07;0,1;31,6;3;0;0;1
L008;Chocolate amargo;100;Chocolate amargo o negro;2713,3;622;4,9;49,3;42,6;80;2,9;3,6;186;220;0;0,04;0,04;1,1;6;0,28;2;17
L017;Salsa de tomate doy pack;100;Salsa de tomate;1263,9;109;1,3;25;0,3;17;0,1;0,5;17;28;3;0,04;0,09;1,2;10;0;70;860
T003;Arveja verde seca importada;100;Arveja seca, cruda;389,3;374;23,9;60,2;1,1;60;3,5;4,6;119;346;2;0,78;0,16;3,1;274;0;22;15
T026;Lenteja importada;100;Lenteja común, cruda;631,3;387;23,1;61;0,9;51;3,6;7,2;83;370;3;0,5;0,18;1,8;172;0;2;27
